Category,Variable Name,Data Type,Description,Variable Values
,MCCOM_paralysis,smallint,Have you been diagnosed with: Paralysis (from stroke or other condition),"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_ami,smallint,"Have you been diagnosed with: Heart attack (coronary, myocardial infarction or MI), Congestive heart failure (fluid in the lungs), or Heart bypass operation (coronary bypass surgery or CABG) or angioplasty or stent","Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_carotid,smallint,"Have you been diagnosed with: Procedure to unblock blood vessels to your neck (carotid endarterectomy, carotid angioplasty, or carotid stent)","Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_stroke,smallint,Have you been diagnosed with: Stroke,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_other,smallint,Have you been diagnosed with: Other,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_other_explain,nvarchar,"If Other, please explain.",text
Low back pain,OSWE_pain_intensity,smallint,My BACK PAIN at the moment is,"1=none, 2=mild, 3=moderate, 4=fairly severe, 5=very severe, 6=worst imaginable, -1=none selected"
Pain on knee,KOOS_frequency_pain,smallint,How often do you experience knee pain?,"1=Never, 2=Monthly, 3=Weekly, 4=Daily, 5=Always, -1=none selected"
,,,What amount of pain have you experienced the last week in your arthritis knee during the following activities?,
,KOOS_pain_twisting_pivoting,smallint,Pain twisting/pivoting on your knee,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_straightening,smallint,Pain straightening knee fully,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_bending,smallint,Pain bending knee fully,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_walking_flat,smallint,Pain walking on flat surface,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_on_stairs,smallint,Pain going up or down stairs,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_in_bed,smallint,Pain at night while in bed,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_sitting_lying,smallint,Pain sitting or lying,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_standing,smallint,Pain standing upright,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
Pain on other joints,KOOS_pain_nsk,smallint,What amount of pain have you experienced the last week in your other knee?,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_rh,smallint,What amount of pain have you experienced the last week in your right hip?,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_pain_lh,smallint,What amount of pain have you experienced the last week in your left hip?,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
Physical function,,,"The following questions concern your physical function. By this we mean your ability to move around and to look after yourself. For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your arthritis knee. It is important you answer all questions even if they may not seem relevant to you. If you were not able to do an activity listed, tell us how difficult it would be if you attempted to do the activity.",
,KOOS_difficulty_down_stairs,smallint,Difficult descending stairs,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_up_stairs,smallint,Difficulty ascending stairs,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_diff_rising_from_seat,smallint,Difficulty rising from sitting,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_standing,smallint,Difficulty standing,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_bending,smallint,Difficulty bending to floor/pick up an object,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_walking_flat,smallint,Difficulty walking on flat surface,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_car,smallint,Difficulty getting in/out of car,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_shopping,smallint,Difficulty going shopping,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_socks,smallint,Difficulty putting on socks/stockings,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_rising_bed,smallint,Difficulty rising from bed,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_diff_taking_socks_off,smallint,Difficulty taking off socks/stockings,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_lying_bed,smallint,"Difficulty lying in bed (turning over, maintaining knee position)","1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_bath,smallint,Difficulty getting in/out of bath,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_sitting,smallint,Difficulty sitting,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_toilet,smallint,Difficulty getting on/off toilet,"1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_heavy_domestic,smallint,"Difficulty with heavy domestic duties (moving heavy boxes, scrubbing floors, etc)","1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,KOOS_difficulty_light_domestic,smallint,"Difficulty with light domestic duties (cooking, dusting, etc)","1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
